datum,tijd,DHT11,DS18B20,gemiddeldeTemp 
2025-11-20,10:38:15,24.5,24.1875,24.34375
2025-11-20,10:38:20,24.5,24.1875,24.34375
2025-11-20,10:38:35,24.5,24.1875,24.34375
2025-11-20,10:38:40,24.5,24.1875,24.34375
2025-11-20,10:38:45,24.5,24.1875,24.34375
2025-11-20,10:39:00,24.5,24.1875,24.34375
2025-11-20,10:39:05,24.5,24.1875,24.34375
2025-11-20,10:39:10,24.5,24.1875,24.34375
2025-11-20,10:39:15,24.5,24.1875,24.34375
2025-11-20,10:39:20,24.6,24.1875,24.39375
2025-11-20,10:39:25,24.5,24.1875,24.34375
2025-11-20,10:39:30,24.5,24.1875,24.34375
2025-11-20,10:39:35,24.5,24.1875,24.34375
2025-11-20,10:39:40,24.5,24.1875,24.34375
2025-11-20,10:39:50,24.5,24.1875,24.34375
2025-11-20,10:39:55,24.5,24.1875,24.34375
2025-11-20,10:40:00,24.5,24.1875,24.34375
2025-11-20,10:40:05,24.5,24.1875,24.34375
2025-11-20,10:40:10,24.5,24.1875,24.34375
2025-11-20,10:40:15,24.5,24.1875,24.34375
2025-11-20,10:40:20,24.5,24.1875,24.34375
2025-11-20,10:40:25,24.5,24.1875,24.34375
2025-11-20,10:40:35,24.5,24.1875,24.34375
2025-11-20,10:40:45,24.5,24.1875,24.34375
2025-11-20,10:40:55,24.5,24.1875,24.34375
2025-11-20,10:41:00,24.5,24.1875,24.34375
2025-11-20,10:41:05,24.5,24.1875,24.34375
2025-11-20,10:41:10,24.5,24.1875,24.34375
2025-11-20,10:41:15,24.5,24.1875,24.34375
2025-11-20,10:41:20,24.5,24.1875,24.34375
2025-11-20,10:41:25,24.5,24.1875,24.34375
2025-11-20,10:41:35,24.5,24.1875,24.34375
2025-11-20,10:41:45,24.5,24.1875,24.34375
2025-11-20,10:41:55,24.5,24.1875,24.34375
2025-11-20,10:42:00,24.5,24.1875,24.34375
